"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp36","National Trust for Scotland","","Records provided by National Trust for Scotland, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp36","","","","35"
"dr2380","Birds (BTO+partners) 2006 - 2010","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2380","","","","298"
"dr1350","North East Scotland Birds (1883-2010)","doi:10.15468/o1okcz","Records provided by North East Scotland Birds (1883-2010), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1350","","This dataset is only available on the NBN Atlas at 1Km resolution. Users who wish to access data at a higher resolution and/or data relating to sensitive species should contact NESBReC directly. Data searches for commercial purposes will incur a service charge by NESBReC.","","48"
"dr2381","Birds (BTO+partners) 2011 - 2015","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2381","","","","188"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","206"
"dr1156","BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991.","doi:10.15468/cisnhd","Records provided by BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1156","","","","123"
"dp143","Scottish Ornithologists' Club, The","","Records provided by Scottish Ornithologists' Club, The, accessed through NBN Atlas website.","","For more information:  email mail@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dp143","","","","73"
"dp242","World Museum, National Museums Liverpool","","Records provided by World Museum, National Museums Liverpool, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp242","","","","8"
"dp121","Suffolk Biodiversity Information Service","","Records provided by Suffolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp121","","","","1"
"dr1237","BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.","doi:10.15468/huodzs","Records provided by BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1237","","","","71"
"dp123","North East Scotland Biological Records Centre","","Records provided by North East Scotland Biological Records Centre, accessed through NBN Atlas website.","","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dp123","","","","48"
"dr681","National Trust for Scotland Species Records","doi:10.15468/a5y1cz","National Trust for Scotland Species Records, NTS (2019)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr681","","Any queries for additional information should be directed to biologicalrecords@nts.org.uk","","35"
"dr1415","North East Scotland Breeding Bird Atlas 2002-06","doi:10.15468/hny7nf","Records provided by North East Scotland Breeding Bird Atlas 2002-06, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1415","","","","37"
"dr528","Birds (BTO+partners) to 2005","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr528","","","","279"
"dr447","Crossbills, Distribution survey in Great Britain, 1995-2005","doi:10.15468/0gghyo","Data reproduced with the permission of RSPB","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr447","","","","294"
