"Column name","Requested field","DwC Name","More information"
"rowkey","rowkey","","NBN Atlas ID for this record."
"occurrenceID","occurrenceID","occurrenceID","http://rs.tdwg.org/dwc/terms/occurrenceID"
"eventID","eventID","eventID","http://rs.tdwg.org/dwc/terms/eventID"
"catalogNumber","catalogNumber","catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber"
"collectionCode","collectionCode","collectionCode","The survey key or collection code as supplied in the raw record.  http://rs.tdwg.org/dwc/terms/collectionCode"
"dcterms:type","type","dcterms:type","The nature of the resource."
"dcterms:license processed","license_p","dcterms:license","Processed licence, i.e. the dataset licence. http://rs.tdwg.org/dwc/terms/dcterms:license"
"rightsHolder","rightsHolder","dcterms:rightsHolder","A person or organization owning or managing rights over the resource. http://rs.tdwg.org/dwc/terms/index.htm#dcterms:rightsHolder"
"dcterms:accessRights","rights","dcterms:rights",""
"dcterms:bibliographicCitation","bibliographicCitation","dcterms:bibliographicCitation","http://rs.tdwg.org/dwc/terms/dcterms:bibliographicCitation"
"dcterms:references","references","dcterms:references","Related resource(s)."
"taxonID","taxonID","taxonID","http://rs.tdwg.org/dwc/terms/taxonID"
"scientificName processed","scientificName_p","scientificName processed","Processed/matched scientific name.  http://rs.tdwg.org/dwc/terms/scientificName processed"
"scientificNameAuthorship","scientificNameAuthorship","scientificNameAuthorship","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship"
"nomenclaturalStatus","nomenclaturalStatus","",""
"taxonRemarks","taxonRemarks","taxonRemarks","http://rs.tdwg.org/dwc/terms/taxonRemarks"
"identificationRemarks","identificationRemarks","identificationRemarks","http://rs.tdwg.org/dwc/terms/identificationRemarks"
"identifiedBy processed","identifiedBy_p","identifiedBy processed","http://rs.tdwg.org/dwc/terms/identifiedBy processed"
"identificationVerificationStatus","identificationVerificationStatus","","The identification verification status of the record. "
"identificationVerificationStatus processed","identificationVerificationStatus_p","identificationVerificationStatus","The processed identification verification status of the record. http://rs.tdwg.org/dwc/terms/identificationVerificationStatus"
"kingdom","kingdom_p","kingdom","The processed Kingdom of the taxon.  http://rs.tdwg.org/dwc/terms/kingdom"
"phylum processed","phylum_p","phylum","The processed Phylum of the taxon.  http://rs.tdwg.org/dwc/terms/phylum"
"class processed","classs_p","class processed","The processed Class of the taxon.  http://rs.tdwg.org/dwc/terms/class processed"
"order processed","order_p","order","The processed Order of the taxon.  http://rs.tdwg.org/dwc/terms/order"
"family processed","family_p","family","The processed Family of the taxon.  http://rs.tdwg.org/dwc/terms/family"
"genus processed","genus_p","genus","The processed Genus of the taxon.  http://rs.tdwg.org/dwc/terms/genus"
"specificEpithet","specificEpithet","specificEpithet","http://rs.tdwg.org/dwc/terms/specificEpithet"
"infraspecificEpithet","infraspecificEpithet","infraspecificEpithet","http://rs.tdwg.org/dwc/terms/infraspecificEpithet"
"eventDate processed","eventDate_p","eventDate processed","Processed occurrence date.  http://rs.tdwg.org/dwc/terms/eventDate processed"
"eventTime","eventTime","eventTime","http://rs.tdwg.org/dwc/terms/eventTime"
"verbatimEventDate","verbatimEventDate","verbatimEventDate","http://rs.tdwg.org/dwc/terms/verbatimEventDate"
"day processed","day_p","day","The day the event occurred in. http://rs.tdwg.org/dwc/terms/day"
"month processed","month_p","month","The ordinal month the event occurred in.  http://rs.tdwg.org/dwc/terms/month"
"year processed","year_p","year","The year the event occurred in.  http://rs.tdwg.org/dwc/terms/year"
"eventDateEnd processed","eventDateEnd_p","eventDateEnd processed","The end date, if supplied. http://rs.tdwg.org/dwc/terms/eventDateEnd processed"
"endDay processed","endDay_p","endDay processed","The ending day the event occurred in. http://rs.tdwg.org/dwc/terms/endDay processed"
"endMonth processed","endMonth_p","endMonth processed","The ending month the event occurred in. http://rs.tdwg.org/dwc/terms/endMonth processed"
"endYear processed","endYear_p","endYear processed","The ending year the event occurred in. http://rs.tdwg.org/dwc/terms/endYear processed"
"locationID","locationId","locationID","http://rs.tdwg.org/dwc/terms/locationID"
"higherGeographyID","higherGeographyID","higherGeographyID","http://rs.tdwg.org/dwc/terms/higherGeographyID"
"higherGeography","higherGeography","higherGeography","http://rs.tdwg.org/dwc/terms/higherGeography"
"islandGroup","islandGroup","islandGroup","http://rs.tdwg.org/dwc/terms/islandGroup"
"island","island","island","http://rs.tdwg.org/dwc/terms/island"
"countryCode","countryCode","countryCode","http://rs.tdwg.org/dwc/terms/countryCode"
"county","county","county","http://rs.tdwg.org/dwc/terms/county"
"gridreference","gridreference","",""
"verbatimLocality","verbatimLocality","verbatimLocality","http://rs.tdwg.org/dwc/terms/verbatimLocality"
"minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters"
"maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters"
"locationAccordingTo","locationAccordingTo","locationAccordingTo","http://rs.tdwg.org/dwc/terms/locationAccordingTo"
"locationRemarks","locationRemarks","locationRemarks","http://rs.tdwg.org/dwc/terms/locationRemarks"
"georeferenceVerificationStatus processed","georeferenceVerificationStatus_p","georeferenceVerificationStatus","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus"
"georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","http://rs.tdwg.org/dwc/terms/georeferenceRemarks"
"geologicalContextID","geologicalContextID","geologicalContextID","http://rs.tdwg.org/dwc/terms/geologicalContextID"
"basisOfRecord processed","basisOfRecord_p","basisOfRecord","The basis of record as supplied in the raw record.  http://rs.tdwg.org/dwc/terms/basisOfRecord"
"occurrenceStatus processed","occurrenceStatus_p","occurrenceStatus","Presence or absence status.  http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"occurrenceRemarks","occurrenceRemarks","occurrenceRemarks","Comments or notes about the Occurrence. http://rs.tdwg.org/dwc/terms/occurrenceRemarks"
"vitality","vitality","vitality","If a specimen is alive or dead http://rs.tdwg.org/dwc/terms/vitality"
"dynamicProperties","dynamicProperties","dynamicProperties","http://rs.tdwg.org/dwc/terms/dynamicProperties"
"recordNumber","recordNumber","recordNumber","http://rs.tdwg.org/dwc/terms/recordNumber"
"individualCount","individualCount","individualCount","The number of individuals represented present at the time of the occurrence as supplied in the raw record.  http://rs.tdwg.org/dwc/terms/individualCount"
"organismQuantity","organismQuantity","organismQuantity","A number or enumeration value for the quantity of organisms. http://rs.tdwg.org/dwc/terms/organismQuantity"
"organismQuantityType","organismQuantityType","organismQuantityType","The type of quantification system used for the quantity of organisms. http://rs.tdwg.org/dwc/terms/organismQuantityType"
"sex","sex","sex","The sex of the biological individual(s) represented in the occurrence as supplied in the raw record.  http://rs.tdwg.org/dwc/terms/sex"
"lifeStage","lifeStage","lifeStage","The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. http://rs.tdwg.org/dwc/terms/lifeStage"
"behavior","behavior","behavior","http://rs.tdwg.org/dwc/terms/behavior"
"preparations","preparations","preparations","http://rs.tdwg.org/dwc/terms/preparations"
"disposition","disposition","disposition","http://rs.tdwg.org/dwc/terms/disposition"
"associatedMedia","associatedMedia","associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia"
"associatedReferences","associatedReferences","associatedReferences","http://rs.tdwg.org/dwc/terms/associatedReferences"
"associatedSequences","associatedSequences","associatedSequences","http://rs.tdwg.org/dwc/terms/associatedSequences"
"associatedTaxa","associatedTaxa","associatedTaxa","http://rs.tdwg.org/dwc/terms/associatedTaxa"
"samplingEffort","samplingEffort","samplingEffort","http://rs.tdwg.org/dwc/terms/samplingEffort"
"sampleSizeUnit","sampleSizeUnit","sampleSizeUnit","http://rs.tdwg.org/dwc/terms/sampleSizeUnit"
"measurementDeterminedDate","measurementDeterminedDate","measurementDeterminedDate","http://rs.tdwg.org/dwc/terms/measurementDeterminedDate"
"relationshipAccordingTo","relationshipAccordingTo","relationshipAccordingTo","http://rs.tdwg.org/dwc/terms/relationshipAccordingTo"
"resourceRelationshipID","resourceRelationshipID","resourceRelationshipID","http://rs.tdwg.org/dwc/terms/resourceRelationshipID"
"measurementRemarks","measurementRemarks","measurementRemarks","http://rs.tdwg.org/dwc/terms/measurementRemarks"
"measurementValue","measurementValue","measurementValue","http://rs.tdwg.org/dwc/terms/measurementValue"
"relationshipRemarks","relationshipRemarks","relationshipRemarks","http://rs.tdwg.org/dwc/terms/relationshipRemarks"
"resourceID","resourceID","resourceID","http://rs.tdwg.org/dwc/terms/resourceID"
"relationshipEstablishedDate","relationshipEstablishedDate","relationshipEstablishedDate","http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate"
"relationshipOfResource","relationshipOfResource","relationshipOfResource","http://rs.tdwg.org/dwc/terms/relationshipOfResource"
"measurementMethod","measurementMethod","measurementMethod","http://rs.tdwg.org/dwc/terms/measurementMethod"
"measurementID","measurementID","measurementID","http://rs.tdwg.org/dwc/terms/measurementID"
"measurementType","measurementType","measurementType","http://rs.tdwg.org/dwc/terms/measurementType"
"measurementUnit","measurementUnit","measurementUnit","http://rs.tdwg.org/dwc/terms/measurementUnit"
"measurementDeterminedBy","measurementDeterminedBy","measurementDeterminedBy","http://rs.tdwg.org/dwc/terms/measurementDeterminedBy"
"measurementAccuracy","measurementAccuracy","measurementAccuracy","http://rs.tdwg.org/dwc/terms/measurementAccuracy"
"relatedResourceID","relatedResourceID","relatedResourceID","http://rs.tdwg.org/dwc/terms/relatedResourceID"
"organismID","organismID","organismID","http://rs.tdwg.org/dwc/terms/organismID"
"organismName","organismName","organismName","http://rs.tdwg.org/dwc/terms/organismName"
"organismScope","organismScope","organismScope","A description of the kind of organism instance. http://rs.tdwg.org/dwc/terms/organismScope"
"associatedOrganisms","associatedOrganisms","associatedOrganisms","http://rs.tdwg.org/dwc/terms/associatedOrganisms"
"previousIdentifications","previousIdentifications","previousIdentifications","http://rs.tdwg.org/dwc/terms/previousIdentifications"
"organismRemarks","organismRemarks","organismRemarks","Comments or notes about the Organism instance. http://rs.tdwg.org/dwc/terms/organismRemarks"
"collectionID","collectionID","collectionID","http://rs.tdwg.org/dwc/terms/collectionID"
"datasetID","datasetID","datasetID","http://rs.tdwg.org/dwc/terms/datasetID"
"institutionCode","institutionCode","institutionCode","The institution code for this record, which does not have to be the data provider.  http://rs.tdwg.org/dwc/terms/institutionCode"
"fieldNotes","fieldNotes","fieldNotes","http://rs.tdwg.org/dwc/terms/fieldNotes"
"eventRemarks","eventRemarks","eventRemarks","http://rs.tdwg.org/dwc/terms/eventRemarks"
"datasetName","datasetName","datasetName","http://rs.tdwg.org/dwc/terms/datasetName"
"ownerInstitutionCode","ownerInstitutionCode","ownerInstitutionCode","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode"
"otherCatalogNumbers","otherCatalogNumbers","otherCatalogNumbers","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers"
"materialSampleID","materialSampleID","materialSampleID","http://rs.tdwg.org/dwc/terms/materialSampleID"
"decimalLatitude processed","decimalLatitude_p","decimalLatitude processed","Processed decimal latitude in WGS84 datum. Calculated from grid reference if not supplied.  http://rs.tdwg.org/dwc/terms/decimalLatitude processed"
"decimalLongitude processed","decimalLongitude_p","decimalLongitude processed","Processed decimal longitude in WGS84 datum. Calculated from grid reference if not supplied.  http://rs.tdwg.org/dwc/terms/decimalLongitude processed"
