"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"0001d0f3-5da8-4e92-81bb-0157f26991bc","117344888","ScottishCrossbill2008-SAMPLE",,"ScottishCrossbill2008",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2008-02-13",,,"13","02","2008","2008-02-13","13","02","2008","9669179",,,,,,,"NH5178",,,,,,"Accepted",,,"HumanObservation","present",,,,"782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000601",,,,,,,,"57.771498","-4.498351","707.1"
"0010d8de-17a5-449c-90c4-ffed05074e4d","87300699",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2012-03-29",,,"29","03","2012",,,,,,,,,,,,"NH8422",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.278486","-3.917367","707.1"
"0010fefb-d281-4a08-81d7-8e73ba819e23","226160082","Scotland2006-2011-SAMPLE",,"Scotland2006-2011",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2006",,,"","","2006","2011",,,"2011","11450837",,,,,,,"NN79Z",,,,,,"Accepted",,,"HumanObservation","present",,,,"BCTP2012_19942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000811",,,,,,,,"57.066091","-3.997115","1414.2"
"001adf78-210b-46bc-a094-7cfdcaf55a5e","124317469",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2016-05-22",,,"22","05","2016",,,,,,,,,,,,"NH8523",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.287715","-3.901254","707.1"
"00218807-b16c-4641-ab72-8fb73985a504","117376880","no key-SAMPLE",,"no key",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1998-04-22",,,"22","04","1998","1998-04-22","22","04","1998",,,,,,,,"NJ61",,,,,,"Accepted",,,"HumanObservation","present",,,,"3655703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000793",,,,,,,,"57.224392","-2.581271","7071.1"
"0035e36e-07c7-4344-b2ea-d04a89ed182d","102265927",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2018-04-22",,,"22","04","2018",,,,,,,,,,,,"NH8523",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.287715","-3.901254","707.1"
"0057461f-b359-4d3e-85e7-a0445cb2729d","249468421","no key-SAMPLE",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1988-04",,,"","04","1988","1991-07",,"07","1991",,,,,,,,"NJ41",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"GIBTET257458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000147","British Trust for Ornithology",,,,,,,"57.222422","-2.91245","7071.1"
"008f46cd-66aa-4be3-ae45-db3752c7ab45","230021146","no key-SAMPLE",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1981-11",,,"","11","1981","1984-02",,"02","1984","11875129",,,,,,,"NH59",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"WIN46917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000599","British Trust for Ornithology",,,,,,,"57.920712","-4.449607","7071.1"
"008fdeb1-be61-4c45-886a-25fbd6319794","36807827",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1978-08-13",,,"13","08","1978",,,,,,,,,,,,"NH9818",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.245896","-3.68364","707.1"
"00c2c323-fd00-44e4-959e-444101f719dc","83696710",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2014-05-20",,,"20","05","2014",,,,,,,,,,,,"NH5973",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.729204","-4.361056","707.1"
